### Footprint positions - created on 2026-02-28T21:35:28+0700 ###
### Printed by KiCad version 9.0.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                       Package                                                         PosX       PosY       Rot  Side
D34       LED-GREEN                 LED_0805_2012Metric                                         298.9104   -73.4750   90.0000  top
D35       1N4007                    D_SMA                                                       302.1604   -69.1500    0.0000  top
F1        RUEF500                   RUEF500                                                     316.6950  -108.5200    0.0000  top
FB1       FB20022-4B-RC             FB200224BRC                                                 309.0100   -97.5970  180.0000  top
FB2       FB20022-4B-RC             FB200224BRC                                                 298.3700  -111.3300    0.0000  top
IC1       RAA211450GSP#HA0          SOP65P640X120-17N                                           322.7700   -93.2900   90.0000  top
J1        KF-5.08-2-V               PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal   302.1300  -118.2600    0.0000  top
J2        Barrel_Jack_MountingPin   BarrelJack_GCT_DCJ200-10-A_Horizontal                       316.9000  -114.5600    0.0000  top
J3        UL-3.81-3-R               PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal       75.6300   -28.2800  180.0000  top
J4        UL-3.81-3-R               PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal      108.5236   -28.2800  180.0000  top
J5        UL-3.81-3-R               PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal      141.4171   -28.2800  180.0000  top
J6        UL-3.81-3-R               PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal      174.3107   -28.2800  180.0000  top
J7        UL-3.81-3-R               PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal      282.5500  -120.0400    0.0000  top
J8        Header/4/2.54mm/BOX       PinHeader_1x04_P2.54mm_Horizontal                           269.2700  -118.0200  -90.0000  top
J9        Header_5x2_2.54mm_BOX     Header_2x5_2.54mm_BOX                                       240.7500  -118.8900  -90.0000  top
J10       Header_5x2/2.54mm/Female  PinSocket_2x05_P2.54mm_Vertical                             218.7650   -84.6800    0.0000  top
J11       UL-3.81-2-R               PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal       81.3100  -119.7275    0.0000  top
J12       UL-3.81-2-R               PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal       98.1300  -119.7275    0.0000  top
J13       UL-3.81-2-R               PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal      114.9500  -119.7275    0.0000  top
J14       UL-3.81-2-R               PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal      131.7700  -119.7275    0.0000  top
J15       UL-3.81-2-R               PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal      148.5900  -119.7275    0.0000  top
J16       UL-3.81-2-R               PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal      165.4100  -119.7275    0.0000  top
J17       UL-3.81-2-R               PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal      182.2300  -119.7275    0.0000  top
